,deviceName,farEndInterface,nearEndInterface,neighborDeviceName
298,CLDLV-DCS-CAGE5018-01-PRIVATE,Ethernet1/3,Ethernet4/1,LVDC-5095-9K-1B(FDO224000HK)
299,KMC-HPLX-2960-3,GigabitEthernet0,GigabitEthernet2/0/24,WAKADHPNT-01IDF-AP197D
300,KMC-HPLEX-3750,GigabitEthernet2/0/52,GigabitEthernet2/0/2,KMC-HPLX-2960-2
301,CHSMC-LAS-SOUTH4-01,GigabitEthernet0,GigabitEthernet3/0/22,CHSMC-S5-12
302,WA-QCDC-RW06-RA05-S02,Ethernet1/13,TenGigabitEthernet1/0/2,WA-QCDC-RW05-RB05-S93
303,WASTPMCNT-0002D-AS01,GigabitEthernet0,GigabitEthernet1/0/45,WASTPMC-2D1C66C
304,WASTPEGNT-0001B-AS01,GigabitEthernet0,GigabitEthernet1/0/25,WASTPEG-POR7E8C
305,AKKOIMCNT-E2251-AS01,GigabitEthernet0,GigabitEthernet1/0/41,AKKOIMCNT-2251-21
306,ORSTVMCNT-MBLCA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-LCA6B7E
307,CA-TZMC-NBDG-001A-S01,TenGigabitEthernet1/1/21,nullvalue,CA-TZMC-NBDC-R002-S91
308,CA-TZMC-EBDG-002A-S01,TenGigabitEthernet1/1/18,nullvalue,CA-TZMC-NBDC-R002-S91
309,ORSTVMCNT-MBLEA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-LEA6FB2
310,CLDLV-DAS-CAGE4021-01,Ethernet3/23,Ethernet3/2,CLDLV-DCS-CAGE5018-01-PRIVATE(JAF1635ANEA)
311,FAR-05-4507-1,Port 1,GigabitEthernet7/25,SEPD4A02A887433
312,WA-FHMC-ARTO-003A-S81,FastEthernet0,GigabitEthernet103/3/0/44,HFAR-03-1130-3
313,WA-FHMC-ARTO-003A-S81,FastEthernet0,GigabitEthernet103/1/0/42,HFAR-03-1130-5
314,WA-FHMC-ARTO-003A-S81,GigabitEthernet1/0/1,GigabitEthernet1/5/15,WAARNMPNT-9AIDF-AS01
315,KC-1096Goethals-2960x-1,GigabitEthernet0,GigabitEthernet2/0/19,WAKADSCNT-01IDF-APB98C
316,AACC-TMDF-S002,TenGigabitEthernet2/3,TenGigabitEthernet4/4,AAMC-COREA
317,SJOPA-LAS-IDFPav21-01,GigabitEthernet0,GigabitEthernet3/0/33,SJO-AP-PAV-01-10
318,WAFIFAVNT-8AIDF-AS01,Port 1,GigabitEthernet8/35,SEPBCC493A548BE
319,WAFIFAVNT-8AIDF-AS01,Port 1,GigabitEthernet8/22,SEP001819F59391
320,WA-TUKW-RFTP-002A-S81,GigabitEthernet0/0/0,TenGigabitEthernet1/1/5,WARVRTP-00002MDF-WR02
321,SJOPA-LAS-HHFOB760-01,Port 1,GigabitEthernet1/0/11,SEP188B45185B97
322,WATKWDCNT-13A02-OS01,FastEthernet0/1,GigabitEthernet1/0/9,WSBY13B9S001
323,HCJA-4B-3750,GigabitEthernet0,FastEthernet1/0/44,HCJA-4B-3500-AP3
324,WATKWDCNT-3A13-OS01,GigabitEthernet0/1,GigabitEthernet1/0/31,WSBY2A2S003
325,WAVALOPNT-W1-W01,GigabitEthernet0,nullvalue,WAVALOPNT-W1-APFCF2
326,WAVALOPNT-W1-W01,GigabitEthernet0,nullvalue,WAVALOPNT-W1-APFFC4
327,WAVALOPNT-W2-W01,GigabitEthernet0,GigabitEthernet1/0/8,WAVALOPNT-W2-APF30E
328,PJA-04-3750,Port 1,FastEthernet2/0/31,SEPECC882B01FE5
329,WQDC-3B5-S001,GigabitEthernet0/1,FastEthernet0/7,WQDC-2B2-S001
330,ORSTVMCNT-MB2EA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-2EADF72
331,WARNTS2NT-2W-W01,GigabitEthernet0,GigabitEthernet1/0/3,WARNTS2-2W-APFD38
332,ORSTVMCNT-MB3EA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-3EAB774
333,CA-LCMC-HANN-00BN-S91,TenGigabitEthernet1/1/1,nullvalue,CA-LCMC-HANN-002N-S01
334,ORSTVMCNT-MBLEA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-LEADC98
335,WASHRWHNT-L3BDF-DS21,GigabitEthernet0,TenGigabitEthernet1/1/9,wsmc-wa3w-32B0
336,CA-LCMC-JLDC-R306-S92,Ethernet1/47,nullvalue,CA-LCMC-JLDC-R307-S92
337,WASHRWHNT-L3BDF-DS21,TenGigabitEthernet6/0/1,TenGigabitEthernet2/1/6,WASHRWHNT-01IDW-AS103
338,WASHRWHNT-L3BDF-DS21,GigabitEthernet0,TenGigabitEthernet2/1/9,wsmc-wa3w-32AC
339,WASTPMCNT-00LLF-AS01,GigabitEthernet0,GigabitEthernet2/0/46,WASTPMC-LF15C6A
340,WAFIFAVNT-8AIDF-AS01,Port 1,GigabitEthernet10/4,SEP0041D292A43F
341,WAFIFAVNT-8AIDF-AS01,Port 1,GigabitEthernet7/8,SEPDCA5F486B1D8
342,SJOMC-LAS-IDFPCC42-01,GigabitEthernet0,GigabitEthernet2/0/39,SJOAP-PCC4-32
343,SJOMC-LAS-IDFPCC42-01,GigabitEthernet0,GigabitEthernet1/0/2,SJOAP-PCC4-29
344,AKSEWMCNT-01MDF-AS01,GigabitEthernet0,GigabitEthernet1/0/5,AKSEWMC-FL1831A
345,SJOMC-LAS-IDFNEB-02,GigabitEthernet0,GigabitEthernet3/0/3,AP0042
346,WASHRDBNT-C5IDF-AS89,GigabitEthernet0,GigabitEthernet2/0/43,wsmc-dbw5-fc5f
347,WMCC-01A-S001-VSS,GigabitEthernet0,nullvalue,WMCC-02A-B-37
348,WMCC-01A-S001-VSS,GigabitEthernet0,nullvalue,WMCC-01A-C-45
349,AAMC-JDC01-S002,GigabitEthernet1/1/4,GigabitEthernet1/47,AAMC-JDCS-VSS01
350,WASTPEGNT-0001A-AS01,GigabitEthernet0,GigabitEthernet1/0/46,WASTPEG-1EG7FE2
351,WASTPEGNT-0001A-AS01,GigabitEthernet0,GigabitEthernet1/0/47,WASTPEG-1EG81AE
352,MMGPL-LAS-MDFPL2-01,Port 1,GigabitEthernet4/0/6,SEPC4B9CDD92C3B
353,MMGPL-LAS-MDFPL2-01,Port 1,GigabitEthernet3/0/39,SEPC4B9CDD8F307
354,WATKWDCNT-3A13-OS01,FastEthernet0/1,GigabitEthernet1/0/22,WSBY3A8S001
355,WATKWDCNT-3A13-OS01,FastEthernet0/1,GigabitEthernet1/0/23,WSBY3A10S001
356,CLDLV-DCS-CAGE5018-01-PRIVATE,Ethernet1/48,Ethernet2/3,LVLeaf_104(FDO230708BS)
357,WASVMPKNT-1SMDF-WR01,GigabitEthernet0,GigabitEthernet0,WASVMPKNT-1SMDF-WR02
358,CLDLV-DCS-CAGE5018-01-PRIVATE,Ethernet1/3,Ethernet1/14,LVDC-5852-9K-1A(FDO202521EC)
359,KMC-HPLX-2960-3,GigabitEthernet2/0/3,nullvalue,KMC-HPLEX-3750
360,KMC-HPLEX-3750,GigabitEthernet1/0/52,GigabitEthernet1/0/4,KMC-HPLX-2960-4
361,CHSMC-LAS-SOUTH4-01,TenGigabitEthernet2/1/0/11,GigabitEthernet2/1/1,CHSMC-LCC-MDF-V
362,WA-QDC-RW05-RB03-S01,Ethernet1/2,TenGigabitEthernet1/0/2,WA-QCDC-RW05-RB04-S93
363,WASTPMCNT-0002D-AS01,GigabitEthernet0,GigabitEthernet2/0/47,WASTPMC-2D17630
364,WASTPEGNT-0001B-AS01,GigabitEthernet0,GigabitEthernet1/0/2,WASTPEG-POR793C
365,AKKOIMCNT-E2251-AS01,GigabitEthernet0,GigabitEthernet1/0/5,AKKOIMCNT-2251-01
366,ORSTVMCNT-MBLCA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-LCAE4C8
367,CA-TZMC-NBDG-001A-S01,GigabitEthernet0,nullvalue,APc067
368,CA-TZMC-EBDG-002A-S01,GigabitEthernet0,nullvalue,APc067
369,ORSTVMCNT-MBLEA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-LEAE608
370,CLDLV-DAS-CAGE4021-01,Ethernet1/24,Ethernet2/6,CLDLV-UCS01-B(SSI17430AW2)
371,FAR-05-4507-1,Port 1,GigabitEthernet5/35,SEPC8F9F9D7D766
372,WA-FHMC-ARTO-003A-S81,GigabitEthernet1/1/1,GigabitEthernet1/5/2,WAARNNTNT-IDF14-AS01
373,WA-FHMC-ARTO-003A-S81,GigabitEthernet3/0/1,GigabitEthernet2/5/33,WAARNMTNT-8AIDF-AS01
374,WA-FHMC-ARTO-003A-S81,GigabitEthernet1/0/1,GigabitEthernet1/5/33,WAARNMTNT-8AIDF-AS01
375,KC-1096Goethals-2960x-1,TenGigabitEthernet1/7,GigabitEthernet1/0/50,WAKADSCNT-01MDF-DS01
376,AACC-TMDF-S002,GigabitEthernet4/0/2,GigabitEthernet7/16,AACC-UUT1-S001
